sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
128269,100,Trichosphaeriales,Trichosphaeriales,M.E. Barr,126976,Incertae sedis,1
127303,110,Collematineae,Collematineae,Miadl. & Lutzoni,51679,Peltigerales,1
127304,110,Peltigerineae,Peltigerineae,,51679,Peltigerales,1
51693,140,Dactylosporaceae,Dactylosporaceae,Bellem. & Hafellner,51671,Lecanorales,1
51694,140,Mastodiaceae,Mastodiaceae,Zahlbr.,51658,Ascomycota,1
51695,140,Melaspileaceae,Melaspileaceae,W. Watson,51663,Arthoniales,1
51696,140,Phlyctidaceae,Phlyctidaceae,Poelt & Ve&#728;zda ex J. C. David & D. Hawksw.,51677,Ostropales,1
51697,140,Protothelenellaceae,Protothelenellaceae,"Vezda, H. Mayrhofer & Poelt",127138,Lecanoromycetes,1
51698,140,Thelenellaceae,Thelenellaceae,H. Mayrhofer,127300,Ostropomycetidae,1
51700,140,Arthoniaceae,Arthoniaceae,Reichenb. ex Reichenb.,51663,Arthoniales,1
51701,140,Chrysotrichaceae,Chrysotrichaceae,Zahlbr.,51663,Arthoniales,1
51703,140,Coniocybaceae,Coniocybaceae,Reichenb.,51658,Ascomycota,1
51704,140,Microcaliciaceae,Microcaliciaceae,Tibell,51658,Ascomycota,1
51705,140,Mycocaliciaceae,Mycocaliciaceae,Alb. Schmidt,127296,Mycocaliciales,1
51706,140,Sphaerophoraceae,Sphaerophoraceae,Fr.,51671,Lecanorales,1
51707,140,Sphinctrinaceae,Sphinctrinaceae,M. Choisy,127296,Mycocaliciales,1
51708,140,Capnodiaceae,Capnodiaceae,(Sacc.) Hohn. ex Theiss.,51665,Capnodiales,1
51709,140,Arthopyreniaceae,Arthopyreniaceae,W. Watson,127136,Dothideomycetes,1
51710,140,Dacampiaceae,Dacampiaceae,Korb.,127136,Dothideomycetes,1
51711,140,Lichenotheliaceae,Lichenotheliaceae,Henssen,127136,Dothideomycetes,1
51712,140,Monoblastiaceae,Monoblastiaceae,W. Watson,51683,Pyrenulales,1
51713,140,Mycoporaceae,Mycoporaceae,Zahlbr.,127136,Dothideomycetes,1
51714,140,Mycosphaerellaceae,Mycosphaerellaceae,Lindau,51665,Capnodiales,1
51715,140,Pleomassariaceae,Pleomassariaceae,M.E. Barr,51682,Pleosporales,1
51716,140,Trichocomaceae,Trichocomaceae,,51667,Eurotiales,1
51717,140,Asterothyriaceae,Asterothyriaceae,,51677,Ostropales,1
51719,140,Graphidaceae,Graphidaceae,Dumort.,51677,Ostropales,1
51721,140,Gyalectaceae,Gyalectaceae,(A. Massal.) Stizenb.,51677,Ostropales,1
51722,140,Hypocreaceae,Hypocreaceae,,51670,Hypocreales,1
51723,140,Acarosporaceae,Acarosporaceae,Zahlbr.,127299,Acarosporales,1
51724,140,Agyriaceae,Agyriaceae,Corda,127301,Agyriales,1
51725,140,Alectoriaceae,Alectoriaceae,,51671,Lecanorales,1
51726,140,Arctomiaceae,Arctomiaceae,Th. Fr.,127300,Ostropomycetidae,1
51728,140,Biatorellaceae,Biatorellaceae,M. Choisy ex Hafellner & Casares-Porcel,51671,Lecanorales,1
51729,140,Brigantiaceae,Brigantiaceae,Hafellner & Bellem.,127350,Lecanoromycetidae,1
51730,140,Candelariaceae,Candelariaceae,Hakul.,127330,Candelariales,1
51731,140,Catillariaceae,Catillariaceae,Hafellner,51671,Lecanorales,1
51732,140,Cladoniaceae,Cladoniaceae,Zenker,51671,Lecanorales,1
51733,140,Coccocarpiaceae,Coccocarpiaceae,(Mont. ex Mull. Stuttg.) Henssen,127303,Collematineae,1
51734,140,Collemataceae,Collemataceae,Zenker,127303,Collematineae,1
51735,140,Crocyniaceae,Crocyniaceae,M. Choisy ex Hafellner,51671,Lecanorales,1
51736,140,Ectolechiaceae,Ectolechiaceae,,51671,Lecanorales,1
51737,140,Eigleraceae,Eigleraceae,,51671,Lecanorales,1
51738,140,Gypsoplaceae,Gypsoplaceae,Timdal,51671,Lecanorales,1
51739,140,Haematommataceae,Haematommataceae,Hafellner,51671,Lecanorales,1
51740,140,Heppiaceae,Heppiaceae,Zahlbr.,51673,Lichinales,1
51741,140,Hymeneliaceae,Hymeneliaceae,Korb.,127300,Ostropomycetidae,1
51742,140,Lecanoraceae,Lecanoraceae,Korb.,51671,Lecanorales,1
51743,140,Lecideaceae,Lecideaceae,Chevall.,127350,Lecanoromycetidae,1
51744,140,Letrouitiaceae,Letrouitiaceae,Bellem. & Hafellner,51685,Teloschistales,1
51745,140,Megalosporaceae,Megalosporaceae,Vezda ex Hafellner & Bellem.,51685,Teloschistales,1
51746,140,Micareaceae,Micareaceae,,51671,Lecanorales,1
51747,140,Mycoblastaceae,Mycoblastaceae,Hafellner,51671,Lecanorales,1
51748,140,Ophioparmaceae,Ophioparmaceae,R. W. Rogers & Hafellner,127350,Lecanoromycetidae,1
51749,140,Pannariaceae,Pannariaceae,Tuck.,127303,Collematineae,1
51750,140,Parmeliaceae,Parmeliaceae,Zenker,51671,Lecanorales,1
51751,140,Pertusariaceae,Pertusariaceae,Korb. ex Korb.,51680,Pertusariales,1
51752,140,Physciaceae,Physciaceae,Zahlbr.,51685,Teloschistales,1
51753,140,Pilocarpaceae,Pilocarpaceae,Zahlbr.,51671,Lecanorales,1
51755,140,Psoraceae,Psoraceae,Zahlbr.,51671,Lecanorales,1
51756,140,Ramalinaceae,Ramalinaceae,C. Agardh,51671,Lecanorales,1
51757,140,Rhizocarpaceae,Rhizocarpaceae,M. Choisy ex Hafellner,127350,Lecanoromycetidae,1
51759,140,Schaereriaceae,Schaereriaceae,Hafellner,51671,Lecanorales,1
51760,140,Stereocaulaceae,Stereocaulaceae,Chevall.,51671,Lecanorales,1
51761,140,Trapeliaceae,Trapeliaceae,M. Choisy ex Hertel,127291,Baeomycetales,1
51762,140,Umbilicariaceae,Umbilicariaceae,Chevall.,127349,Umbilicariales,1
51763,140,Vezdaeaceae,Vezdaeaceae,Poelt & Vezda ex J. C. David & D. Hawksw.,127041,Leotiomycetes,1
51764,140,Baeomycetaceae,Baeomycetaceae,Dumort.,127291,Baeomycetales,1
51765,140,Leotiaceae,Leotiaceae,,127041,Leotiomycetes,1
51766,140,Lichinaceae,Lichinaceae,Nyl.,51673,Lichinales,1
51767,140,Peltulaceae,Peltulaceae,Budel,51673,Lichinales,1
51768,140,Melanommataceae,Melanommataceae,G. Winter,51682,Pleosporales,1
51769,140,Myxotrichaceae,Myxotrichaceae,Currah,127041,Leotiomycetes,1
51770,140,Opegraphaceae,Opegraphaceae,,51663,Arthoniales,1
51771,140,Roccellaceae,Roccellaceae,Chevall.,51663,Arthoniales,1
51772,140,Odontotremataceae,Odontotremataceae,D. Hawksw. & Sherwood,51677,Ostropales,1
51773,140,Solorinellaceae,Solorinellaceae,,51677,Ostropales,1
51774,140,Stictidaceae,Stictidaceae,Fr.,51677,Ostropales,1
51775,140,Arthrorhaphidaceae,Arthrorhaphidaceae,Poelt & Hafellner,127300,Ostropomycetidae,1
51776,140,Lobariaceae,Lobariaceae,Chevall.,127304,Peltigerineae,1
51777,140,Nephromataceae,Nephromataceae,Wetm. ex J. C. David & D. Hawksw.,127304,Peltigerineae,1
51778,140,Peltigeraceae,Peltigeraceae,Dumort.,127304,Peltigerineae,1
51779,140,Placynthiaceae,Placynthiaceae,A. E. Dahl,127303,Collematineae,1
51780,140,Coccotremataceae,Coccotremataceae,Henssen ex J. C. David & D. Hawksw.,51680,Pertusariales,1
51781,140,Phyllachoraceae,Phyllachoraceae,Theiss. & H. Syd.,51681,Phyllachorales,1
51782,140,Pleosporaceae,Pleosporaceae,Nitschke,51682,Pleosporales,1
51783,140,Pyrenotrichaceae,Pyrenotrichaceae,Zahlbr.,127136,Dothideomycetes,1
51784,140,Pyrenulaceae,Pyrenulaceae,Rabenh.,51683,Pyrenulales,1
51785,140,Trichotheliaceae,Trichotheliaceae,,51683,Pyrenulales,1
51786,140,Trypetheliaceae,Trypetheliaceae,Zenker,127323,Trypetheliales,1
51787,140,Strigulaceae,Strigulaceae,Zahlbr.,127141,Chaetothyriomycetidae,1
51788,140,Fuscideaceae,Fuscideaceae,Hafellner,127350,Lecanoromycetidae,1
51789,140,Teloschistaceae,Teloschistaceae,Zahlbr.,51685,Teloschistales,1
51790,140,Adelococcaceae,Adelococcaceae,Triebel,51686,Verrucariales,1
51791,140,Verrucariaceae,Verrucariaceae,Zenker,51686,Verrucariales,1
51792,140,Tricholomataceae,Tricholomataceae,,51687,Agaricales,1
51793,140,Chionosphaeraceae,Chionosphaeraceae,,51688,Atractiellales,1
51794,140,Clavariaceae,Clavariaceae,,51689,Cantharellales,1
51795,140,Atheliaceae,Atheliaceae,,51690,Stereales,1
51796,140,Corticiaceae,Corticiaceae,,51690,Stereales,1
51797,140,Syzygosporaceae,Syzygosporaceae,,51691,Tremellales,1
51798,140,Tremellaceae,Tremellaceae,Fr.,51691,Tremellales,1
51799,140,Platygloeaceae,Platygloeaceae,,51692,Platygloeales,1
126179,140,Brigantiaeaceae,Brigantiaeaceae,,51671,Lecanorales,1
126180,140,Calycidiaceae,Calycidiaceae,,51671,Lecanorales,1
126182,140,Hysteriaceae,Hysteriaceae,,126181,Hysteriales,1
