sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
127330,4,100,Candelariales,Candelariales,"Miadl., Lutzoni & Lumbsch",127348,"Lecanoromycetes, orders incertae sedis",1
127349,4,100,Umbilicariales,Umbilicariales,"Lumbsch, Hestmark & Lutzoni",127138,Lecanoromycetes,1
127350,4,100,"Lecanoromycetidae, families incertae sedis","Lecanoromycetidae,",NULL,127302,Lecanoromycetidae,1
127369,4,100,Diaporthales,Diaporthales,Nannf.,127111,Sordariomycetes,1
127396,4,100,Mytilinidiales,Mytilinidiales,"Boehm, C. L. Schoch & Spatafora*",127136,Dothideomycetes,1
128269,4,100,Trichosphaeriales,Trichosphaeriales,"M.E. Barr",126976,"Incertae sedis",1
127303,4,110,Collematineae,Collematineae,"Miadl. & Lutzoni",51679,Peltigerales,1
127304,4,110,Peltigerineae,Peltigerineae,NULL,51679,Peltigerales,1
51693,4,140,Dactylosporaceae,Dactylosporaceae,"Bellem. & Hafellner",51671,Lecanorales,1
51694,4,140,Mastodiaceae,Mastodiaceae,Zahlbr.,51658,Ascomycota,1
51695,4,140,Melaspileaceae,Melaspileaceae,"W. Watson",51663,Arthoniales,1
51696,4,140,Phlyctidaceae,Phlyctidaceae,"Poelt & Ve&#728;zda ex J. C. David & D. Hawksw.",51677,Ostropales,1
51697,4,140,Protothelenellaceae,Protothelenellaceae,"Vezda, H. Mayrhofer & Poelt",127138,Lecanoromycetes,1
51698,4,140,Thelenellaceae,Thelenellaceae,"H. Mayrhofer",127300,Ostropomycetidae,1
51700,4,140,Arthoniaceae,Arthoniaceae,"Reichenb. ex Reichenb.",51663,Arthoniales,1
51701,4,140,Chrysotrichaceae,Chrysotrichaceae,Zahlbr.,51663,Arthoniales,1
51703,4,140,Coniocybaceae,Coniocybaceae,Reichenb.,51658,Ascomycota,1
51704,4,140,Microcaliciaceae,Microcaliciaceae,Tibell,51658,Ascomycota,1
51705,4,140,Mycocaliciaceae,Mycocaliciaceae,"Alb. Schmidt",127296,Mycocaliciales,1
51706,4,140,Sphaerophoraceae,Sphaerophoraceae,Fr.,51671,Lecanorales,1
51707,4,140,Sphinctrinaceae,Sphinctrinaceae,"M. Choisy",127296,Mycocaliciales,1
51708,4,140,Capnodiaceae,Capnodiaceae,"(Sacc.) Hohn. ex Theiss.",51665,Capnodiales,1
51709,4,140,Arthopyreniaceae,Arthopyreniaceae,"W. Watson",127136,Dothideomycetes,1
51710,4,140,Dacampiaceae,Dacampiaceae,Korb.,127136,Dothideomycetes,1
51711,4,140,Lichenotheliaceae,Lichenotheliaceae,Henssen,127136,Dothideomycetes,1
51712,4,140,Monoblastiaceae,Monoblastiaceae,"W. Watson",51683,Pyrenulales,1
51713,4,140,Mycoporaceae,Mycoporaceae,Zahlbr.,127136,Dothideomycetes,1
51714,4,140,Mycosphaerellaceae,Mycosphaerellaceae,Lindau,51665,Capnodiales,1
51715,4,140,Pleomassariaceae,Pleomassariaceae,"M.E. Barr",51682,Pleosporales,1
51716,4,140,Trichocomaceae,Trichocomaceae,NULL,51667,Eurotiales,1
51717,4,140,Asterothyriaceae,Asterothyriaceae,NULL,51677,Ostropales,1
51719,4,140,Graphidaceae,Graphidaceae,Dumort.,51677,Ostropales,1
51721,4,140,Gyalectaceae,Gyalectaceae,"(A. Massal.) Stizenb.",51677,Ostropales,1
51722,4,140,Hypocreaceae,Hypocreaceae,NULL,51670,Hypocreales,1
51723,4,140,Acarosporaceae,Acarosporaceae,Zahlbr.,127299,Acarosporales,1
